"GEO_ID","NAME","B03002_001E","B03002_001M","B03002_002E","B03002_002M","B03002_003E","B03002_003M","B03002_004E","B03002_004M","B03002_005E","B03002_005M","B03002_006E","B03002_006M","B03002_007E","B03002_007M","B03002_008E","B03002_008M","B03002_009E","B03002_009M","B03002_010E","B03002_010M","B03002_011E","B03002_011M","B03002_012E","B03002_012M","B03002_013E","B03002_013M","B03002_014E","B03002_014M","B03002_015E","B03002_015M","B03002_016E","B03002_016M","B03002_017E","B03002_017M","B03002_018E","B03002_018M","B03002_019E","B03002_019M","B03002_020E","B03002_020M","B03002_021E","B03002_021M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Not Hispanic or Latino","Margin of Error!!Total!!Not Hispanic or Latino","Estimate!!Total!!Not Hispanic or Latino!!White alone","Margin of Error!!Total!!Not Hispanic or Latino!!White alone","Estimate!!Total!!Not Hispanic or Latino!!Black or African American alone","Margin of Error!!Total!!Not Hispanic or Latino!!Black or African American alone","Estimate!!Total!!Not Hispanic or Latino!!American Indian and Alaska Native alone","Margin of Error!!Total!!Not Hispanic or Latino!!American Indian and Alaska Native alone","Estimate!!Total!!Not Hispanic or Latino!!Asian alone","Margin of Error!!Total!!Not Hispanic or Latino!!Asian alone","Estimate!!Total!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Not Hispanic or Latino!!Some other race alone","Margin of Error!!Total!!Not Hispanic or Latino!!Some other race alone","Estimate!!Total!!Not Hispanic or Latino!!Two or more races","Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races","Estimate!!Total!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race","Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race","Estimate!!Total!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Estimate!!Total!!Hispanic or Latino","Margin of Error!!Total!!Hispanic or Latino","Estimate!!Total!!Hispanic or Latino!!White alone","Margin of Error!!Total!!Hispanic or Latino!!White alone","Estimate!!Total!!Hispanic or Latino!!Black or African American alone","Margin of Error!!Total!!Hispanic or Latino!!Black or African American alone","Estimate!!Total!!Hispanic or Latino!!American Indian and Alaska Native alone","Margin of Error!!Total!!Hispanic or Latino!!American Indian and Alaska Native alone","Estimate!!Total!!Hispanic or Latino!!Asian alone","Margin of Error!!Total!!Hispanic or Latino!!Asian alone","Estimate!!Total!!Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Hispanic or Latino!!Some other race alone","Margin of Error!!Total!!Hispanic or Latino!!Some other race alone","Estimate!!Total!!Hispanic or Latino!!Two or more races","Margin of Error!!Total!!Hispanic or Latino!!Two or more races","Estimate!!Total!!Hispanic or Latino!!Two or more races!!Two races including Some other race","Margin of Error!!Total!!Hispanic or Latino!!Two or more races!!Two races including Some other race","Estimate!!Total!!Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races"
"0500000US36103","Suffolk County, New York","1487901","*****","1206586","*****","1013391","965","108250","1065","2145","366","56714","872","305","130","6011","1085","19770","1519","2299","566","17471","1435","281315","*****","187162","4214","8630","1506","1822","657","813","404","146","118","67632","3850","15110","2097","5625","856","9485","1855"
"0500000US36121","Wyoming County, New York","40565","*****","39245","*****","36471","25","1710","161","219","125","155","37","0","25","0","25","690","158","26","32","664","157","1320","*****","691","143","127","46","9","13","0","25","0","25","454","138","39","29","36","29","3","5"
"0500000US36015","Chemung County, New York","85740","*****","83145","*****","74077","73","4940","347","282","156","1240","121","6","9","81","77","2519","343","17","20","2502","345","2595","*****","1366","239","322","196","12","21","93","98","4","8","475","207","323","176","219","185","104","68"
"0500000US36075","Oswego County, New York","119104","*****","116109","*****","112214","22","1106","132","166","61","767","102","7","14","47","50","1802","159","24","22","1778","159","2995","*****","1671","257","219","85","24","26","115","91","9","17","557","209","400","146","96","71","304","125"
"0500000US36077","Otsego County, New York","60244","*****","58069","*****","54982","83","1071","110","49","32","816","92","5","12","121","70","1025","175","116","74","909","159","2175","*****","1272","196","174","120","43","67","13","18","0","28","503","179","170","68","131","58","39","24"
"0500000US36117","Wayne County, New York","90856","*****","86978","*****","81906","50","2594","185","117","66","594","118","78","81","44","31","1645","214","37","44","1608","209","3878","*****","2795","303","37","55","27","34","12","21","0","28","742","252","265","120","218","116","47","35"
"0500000US36001","Albany County, New York","307426","*****","289501","*****","223319","419","35930","758","322","102","19867","425","131","70","562","267","9370","961","523","366","8847","910","17925","*****","9083","829","2477","591","194","162","61","39","2","4","3965","851","2143","539","607","262","1536","478"
"0500000US36007","Broome County, New York","194402","*****","186428","*****","162872","68","10047","462","339","140","8209","365","56","36","89","49","4816","634","138","109","4678","609","7974","*****","4169","424","1130","409","53","45","29","27","33","36","1702","373","858","207","373","176","485","213"
"0500000US36029","Erie County, New York","919866","*****","870453","*****","696992","382","119231","881","4092","342","31615","656","247","48","1276","419","17000","1112","618","257","16382","1093","49413","*****","19995","1039","4244","671","466","182","185","92","62","61","18971","1323","5490","662","3514","564","1976","451"
"0500000US36053","Madison County, New York","71359","*****","69812","*****","66547","63","1158","135","459","73","630","95","73","100","60","50","885","152","36","42","849","147","1547","*****","1027","151","93","43","5","7","0","28","0","28","224","119","198","95","115","68","83","78"
"0500000US36105","Sullivan County, New York","75211","*****","63375","*****","54110","437","5706","342","133","81","1176","93","0","28","323","437","1927","383","13","22","1914","380","11836","*****","6592","695","591","249","58","40","22","38","0","28","3439","669","1134","450","219","200","915","381"
"0500000US36037","Genesee County, New York","58112","*****","56263","*****","52697","32","1249","225","501","104","477","43","0","28","43","37","1296","236","28","34","1268","230","1849","*****","707","171","55","44","9","10","0","28","0","28","954","201","124","91","19","31","105","89"
"0500000US36071","Orange County, New York","378227","*****","302522","*****","245605","372","37246","857","815","221","9913","480","120","53","1546","709","7277","903","454","241","6823","846","75705","*****","34197","1937","3603","685","493","219","121","79","109","113","31117","2026","6065","1032","3575","900","2490","518"
"0500000US36005","Bronx County, New York","1437872","*****","634236","*****","133874","501","421275","1347","3476","424","50906","1034","493","237","8803","1273","15409","1348","2596","563","12813","1250","803636","*****","172549","5588","69548","3072","6120","1026","1482","477","635","360","516237","7099","37065","2380","19515","1701","17550","1532"
