"B306201 - Mean Travel time (1) by Means of transportation (7) (Workers 16 years and over who did not work at home)"
"Current date: 4/24/2020 1:41:18 AM (Eastern Daylight Time)"
"RESIDENCE","WORKPLACE","Means of Transportation 7","Output","Mean Travel Time",
"Bronx County, New York","Richmond County, New York","Taxicab, motorcycle or other method","Margin of Error","**"
"Bronx County, New York","Richmond County, New York","Worked at home","Estimate","0"
"Bronx County, New York","Richmond County, New York","Worked at home","Margin of Error","0"
"Kings County, New York","Bronx County, New York","Total, means of transportation","Estimate","69"
"Kings County, New York","Bronx County, New York","Total, means of transportation","Margin of Error","2.2"
"Kings County, New York","Bronx County, New York","Car, truck, or van -- Drove alone","Estimate","55"
"Kings County, New York","Bronx County, New York","Car, truck, or van -- Drove alone","Margin of Error","3"
"Kings County, New York","Bronx County, New York","Car, truck, or van -- Carpooled","Estimate","56"
"Kings County, New York","Bronx County, New York","Car, truck, or van -- Carpooled","Margin of Error","7.3"
"Kings County, New York","Bronx County, New York","Public transportation","Estimate","78.4"
"Kings County, New York","Bronx County, New York","Public transportation","Margin of Error","2.5"
"Kings County, New York","Bronx County, New York","Bicycle or walked","Estimate","19.6"
"Kings County, New York","Bronx County, New York","Bicycle or walked","Margin of Error","11.9"
"Kings County, New York","Bronx County, New York","Taxicab, motorcycle or other method","Estimate","37.9"
"Kings County, New York","Bronx County, New York","Taxicab, motorcycle or other method","Margin of Error","12.3"
"Kings County, New York","Bronx County, New York","Worked at home","Estimate","0"
"Kings County, New York","Bronx County, New York","Worked at home","Margin of Error","0"
"Kings County, New York","Kings County, New York","Total, means of transportation","Estimate","32.6"
"Kings County, New York","Kings County, New York","Total, means of transportation","Margin of Error","0.2"
"Kings County, New York","Kings County, New York","Car, truck, or van -- Drove alone","Estimate","27.1"
"Kings County, New York","Kings County, New York","Car, truck, or van -- Drove alone","Margin of Error","0.3"
"Kings County, New York","Kings County, New York","Car, truck, or van -- Carpooled","Estimate","29.3"
"Kings County, New York","Kings County, New York","Car, truck, or van -- Carpooled","Margin of Error","0.9"
"Kings County, New York","Kings County, New York","Public transportation","Estimate","43.6"
"Kings County, New York","Kings County, New York","Public transportation","Margin of Error","0.3"
"Kings County, New York","Kings County, New York","Bicycle or walked","Estimate","15.4"
"Kings County, New York","Kings County, New York","Bicycle or walked","Margin of Error","0.2"
"Kings County, New York","Kings County, New York","Taxicab, motorcycle or other method","Estimate","29.3"
"Kings County, New York","Kings County, New York","Taxicab, motorcycle or other method","Margin of Error","2.4"
"Kings County, New York","Kings County, New York","Worked at home","Estimate","0"
"Kings County, New York","Kings County, New York","Worked at home","Margin of Error","0"
"Kings County, New York","New York County, New York","Total, means of transportation","Estimate","48.6"
"Kings County, New York","New York County, New York","Total, means of transportation","Margin of Error","0.3"
"Kings County, New York","New York County, New York","Car, truck, or van -- Drove alone","Estimate","43.1"
"Kings County, New York","New York County, New York","Car, truck, or van -- Drove alone","Margin of Error","0.8"
"Kings County, New York","New York County, New York","Car, truck, or van -- Carpooled","Estimate","47.4"
"Kings County, New York","New York County, New York","Car, truck, or van -- Carpooled","Margin of Error","2.1"
